,Titteli,Työnantaja,Sijainti,Linkki,Julkaistu
87,Sähkömyyjä,LiveRing Oy,Tampere,duunitori.fi/tyopaikat/tyo/sahkomyyja-stse-12416724,Julkaistu 7.9.
88,Myyjä,LiveRing Oy,Tampere,duunitori.fi/tyopaikat/tyo/myyja-stse-12416658,Julkaistu 7.9.
89,"Palvelumyyjiä S-Pankkiin, Tampere",PIRKANMAAN OSUUSKAUPPA,Tampere,duunitori.fi/tyopaikat/tyo/palvelumyyjia-s-pankkiin-tampere-sss-r-12414865,Julkaistu 7.9.
90,Kassa-myyjä,Tokmanni konserni,Tampere,duunitori.fi/tyopaikat/tyo/kassa-myyja-stse-12407354,Julkaistu 4.9.
91,Myyjä,Setlementti Tampere ry,Tampere,duunitori.fi/tyopaikat/tyo/myyja-stse-12406896,Julkaistu 3.9.
92,Palvelumyyjä,Poolia Suomi Oy,Tampere,duunitori.fi/tyopaikat/tyo/palvelumyyja-tre-tai-muu-suomi-stse-12404930,Julkaistu 3.9.
93,Ajanvaraaja vakuutusalalle - 6 paikkaa,Proking Oy,Tampere,duunitori.fi/tyopaikat/tyo/ajanvaraaja-vakuutusalalle-6-paikkaa-tampere-sdsuu-12404124,Julkaistu 3.9.
94,"Aurinkosähköjärjestelmien myyjä/Energia-asiantuntija, OmaWatti",OmaWatti oy,Pirkanmaa ja 1 muu,duunitori.fi/tyopaikat/tyo/aurinkosahkojarjestelmien-myyjaenergia-asiantuntija-omawatti-pirkanmaa-sdsuu-12404153,Julkaistu 3.9.
95,"Aurinkosähköjärjestelmien myyjä/Energia-asiantuntija, OmaWatti",OmaWatti oy,Pirkanmaa ja 1 muu,duunitori.fi/tyopaikat/tyo/aurinkosahkojarjestelmien-myyjaenergia-asiantuntija-omawatti-pirkanmaa-sdsuu-12404156,Julkaistu 3.9.
96,Vakuutusmyyntineuvottelija,Soldem,Tampere,duunitori.fi/tyopaikat/tyo/suomen-telecenter-vakuutusmyyntineuvottelija-tampere-sdsuu-12377095,Julkaistu 3.9.
97,Mediamyyjä B2B-myyntiin,RTK-Henkilöstöpalvelu,Tampere,duunitori.fi/tyopaikat/tyo/mediamyyja-b2b-myyntiin-srstk-12402337,Julkaistu 3.9.
98,Autonasentaja/palvelumestari,Delta Motor Group Oy,Tampere,duunitori.fi/tyopaikat/tyo/autonasentajapalvelumestari-stse-12406242,Julkaistu 2.9.
99,Yritysmyyjä,FS Managerit Oy,Tampere,duunitori.fi/tyopaikat/tyo/yritysmyyja-stse-12405476,Julkaistu 2.9.
